ronda,pregunta,rank,respuesta,puntos,aliases
1,¿Qué dicen los estudiantes que es lo primero que se hace al subir al vehículo?,1,Ponerse el cinturón de seguridad,30,cinturón|abrocharse el cinturón
1,¿Qué dicen los estudiantes que es lo primero que se hace al subir al vehículo?,2,Ajustar los espejos,25,acomodar espejos|revisar retrovisores
1,¿Qué dicen los estudiantes que es lo primero que se hace al subir al vehículo?,3,Ajustar la silla y el timón,20,acomodar el asiento|graduar la silla
1,¿Qué dicen los estudiantes que es lo primero que se hace al subir al vehículo?,4,Verificar que esté en neutro,15,punto muerto
1,¿Qué dicen los estudiantes que es lo primero que se hace al subir al vehículo?,5,Encender el vehículo,10,prender el carro
2,Mencione una señal de tránsito reglamentaria que todo estudiante reconoce,1,Pare,30,stop|señal de pare
2,Mencione una señal de tránsito reglamentaria que todo estudiante reconoce,2,Ceda el paso,25,ceda
2,Mencione una señal de tránsito reglamentaria que todo estudiante reconoce,3,Velocidad máxima permitida,20,límite de velocidad
2,Mencione una señal de tránsito reglamentaria que todo estudiante reconoce,4,Prohibido parquear,15,no estacionar|no parquear
2,Mencione una señal de tránsito reglamentaria que todo estudiante reconoce,5,Prohibido adelantar,10,no adelantar|no sobrepasar
3,¿Qué documento no puede faltarle a un conductor en Colombia?,1,Licencia de conducción,30,pase|licencia
3,¿Qué documento no puede faltarle a un conductor en Colombia?,2,SOAT vigente,25,soat|seguro obligatorio
3,¿Qué documento no puede faltarle a un conductor en Colombia?,3,Revisión tecnicomecánica,20,tecnomecánica|técnico mecánica
3,¿Qué documento no puede faltarle a un conductor en Colombia?,4,Tarjeta de propiedad,15,licencia de tránsito
3,¿Qué documento no puede faltarle a un conductor en Colombia?,5,Documento de identidad,10,cédula
4,Nombre un elemento del kit de carretera obligatorio,1,Llanta de repuesto,30,repuesto|llanta de emergencia
4,Nombre un elemento del kit de carretera obligatorio,2,Gato hidráulico,25,gato
4,Nombre un elemento del kit de carretera obligatorio,3,Extintor,20,extinguidor
4,Nombre un elemento del kit de carretera obligatorio,4,Señales reflectivas de emergencia,15,triángulos|conos reflectivos
4,Nombre un elemento del kit de carretera obligatorio,5,Botiquín de primeros auxilios,10,botiquín
5,¿Cuál es la causa más común de los accidentes de tránsito?,1,Exceso de velocidad,30,ir muy rápido|velocidad
5,¿Cuál es la causa más común de los accidentes de tránsito?,2,Conducir bajo efectos del licor,25,manejar borracho|embriaguez
5,¿Cuál es la causa más común de los accidentes de tránsito?,3,Usar el celular mientras se maneja,20,celular|distracción con el teléfono
5,¿Cuál es la causa más común de los accidentes de tránsito?,4,No respetar las señales de tránsito,15,pasarse el semáforo
5,¿Cuál es la causa más común de los accidentes de tránsito?,5,Imprudencia del peatón,10,peatón cruzando mal
6,¿Qué dicen los estudiantes que más los pone nerviosos en el examen práctico?,1,Parquear en paralelo,30,parqueo en línea|estacionar en paralelo
6,¿Qué dicen los estudiantes que más los pone nerviosos en el examen práctico?,2,Arrancar en pendiente,25,la rampa|subida
6,¿Qué dicen los estudiantes que más los pone nerviosos en el examen práctico?,3,Que el examinador esté al lado,20,el evaluador|el instructor mirando
6,¿Qué dicen los estudiantes que más los pone nerviosos en el examen práctico?,4,Hacer el ocho o el slalom,15,el ocho|los conos
6,¿Qué dicen los estudiantes que más los pone nerviosos en el examen práctico?,5,Reversar sin pisar la línea,10,dar reversa
7,Mencione una parte del carro que se revisa antes de un viaje largo,1,Las llantas y su presión,30,llantas|presión de aire
7,Mencione una parte del carro que se revisa antes de un viaje largo,2,Los frenos,25,pastillas de freno
7,Mencione una parte del carro que se revisa antes de un viaje largo,3,El nivel de aceite,20,aceite del motor
7,Mencione una parte del carro que se revisa antes de un viaje largo,4,Las luces,15,luces altas y bajas|direccionales
7,Mencione una parte del carro que se revisa antes de un viaje largo,5,El refrigerante del motor,10,agua del radiador|coolant
8,¿Qué hace usted si se le pincha una llanta en plena vía?,1,Orillarse en un lugar seguro,30,parquear a un lado|hacerse a la orilla
8,¿Qué hace usted si se le pincha una llanta en plena vía?,2,Encender las luces estacionarias,25,prender las intermitentes|estacionarias
8,¿Qué hace usted si se le pincha una llanta en plena vía?,3,Colocar las señales reflectivas,20,poner los triángulos|poner los conos
8,¿Qué hace usted si se le pincha una llanta en plena vía?,4,Cambiar la llanta con el gato y la cruceta,15,montar el repuesto
8,¿Qué hace usted si se le pincha una llanta en plena vía?,5,Llamar a la grúa o a la aseguradora,10,pedir asistencia|llamar a la grúa
9,Nombre una infracción que puede costarle la licencia de conducción,1,Conducir en estado de embriaguez,30,manejar borracho|alcohol al volante
9,Nombre una infracción que puede costarle la licencia de conducción,2,Participar en piques o carreras ilegales,25,piques|carreras clandestinas
9,Nombre una infracción que puede costarle la licencia de conducción,3,Conducir sin licencia o con licencia vencida,20,sin pase
9,Nombre una infracción que puede costarle la licencia de conducción,4,Huir del lugar de un accidente,15,darse a la fuga|fugarse
9,Nombre una infracción que puede costarle la licencia de conducción,5,Reincidir en comparendos graves,10,muchos comparendos
10,¿Qué significa la luz amarilla del semáforo?,1,Prepararse para detenerse,30,alistarse para parar
10,¿Qué significa la luz amarilla del semáforo?,2,Disminuir la velocidad,25,bajar la velocidad|frenar suave
10,¿Qué significa la luz amarilla del semáforo?,3,Precaución,20,atención|cuidado
